 Val contrastive loss, Val bce loss, Val total loss, Val accuracy, Val real pre, Val real rec, Val real F1-Score, Val fake pre, Val fake rec, Val fake F1-Score, Val micro pre, Val micro rec, Val micro F1-Score, Val macro pre, Val macro rec, Val macro F1-Score
0.010867,0.162137,0.173003,0.944926,0.909748,0.951589,0.930198,0.968709,0.940743,0.954521,0.944926,0.944926,0.944926,0.939228,0.946166,0.94236
0.011316,0.164219,0.175535,0.946519,0.945168,0.914362,0.92951,0.947323,0.966704,0.956915,0.946519,0.946519,0.946519,0.946245,0.940533,0.943212
0.011394,0.159977,0.171371,0.946189,0.936163,0.92343,0.929752,0.952344,0.960474,0.956392,0.946189,0.946189,0.946189,0.944253,0.941952,0.943072
0.011386,0.15899,0.170376,0.948889,0.927168,0.941414,0.934237,0.962867,0.953581,0.958202,0.948889,0.948889,0.948889,0.945018,0.947497,0.946219
0.011265,0.16039,0.171655,0.943411,0.914335,0.941464,0.927701,0.96256,0.944632,0.953512,0.943411,0.943411,0.943411,0.938447,0.943048,0.940606
0.011607,0.159558,0.171165,0.948597,0.943679,0.921717,0.932569,0.951569,0.96547,0.958469,0.948597,0.948597,0.948597,0.947624,0.943594,0.945519
0.011154,0.157158,0.168312,0.948597,0.948304,0.916679,0.932223,0.948772,0.968632,0.958599,0.948597,0.948597,0.948597,0.948538,0.942656,0.945411
0.011069,0.1717,0.18277,0.948772,0.933821,0.933303,0.933562,0.958149,0.958482,0.958316,0.948772,0.948772,0.948772,0.945985,0.945893,0.945939
0.011281,0.162509,0.173791,0.945722,0.933557,0.925092,0.929305,0.953246,0.958672,0.955951,0.945722,0.945722,0.945722,0.943402,0.941882,0.942628
0.010923,0.162025,0.172948,0.945101,0.910063,0.95169,0.930411,0.96878,0.940964,0.954669,0.945101,0.945101,0.945101,0.939421,0.946327,0.94254
0.011475,0.162103,0.173578,0.946596,0.915783,0.948768,0.931984,0.967098,0.945233,0.956041,0.946596,0.946596,0.946596,0.941441,0.947001,0.944012
0.011198,0.158526,0.169724,0.943857,0.914796,0.942169,0.928281,0.963005,0.944917,0.953875,0.943857,0.943857,0.943857,0.9389,0.943543,0.941078
0.011005,0.163589,0.174594,0.947937,0.951607,0.911339,0.931038,0.945788,0.970909,0.958184,0.947937,0.947937,0.947937,0.948697,0.941124,0.944611
0.012323,0.156928,0.169251,0.945353,0.918254,0.942169,0.930058,0.963096,0.947352,0.955159,0.945353,0.945353,0.945353,0.940675,0.94476,0.942609
0.010954,0.168677,0.17963,0.94751,0.919147,0.947207,0.932966,0.966214,0.9477,0.956867,0.94751,0.94751,0.94751,0.942681,0.947453,0.944917
0.011233,0.167438,0.178671,0.945975,0.920195,0.941565,0.930757,0.962778,0.948743,0.955709,0.945975,0.945975,0.945975,0.941486,0.945154,0.943233
0.011108,0.174498,0.185605,0.947024,0.930988,0.931691,0.931339,0.957102,0.956648,0.956875,0.947024,0.947024,0.947024,0.944045,0.94417,0.944107
0.011099,0.163587,0.174686,0.948345,0.932612,0.933505,0.933058,0.958236,0.95766,0.957948,0.948345,0.948345,0.948345,0.945424,0.945582,0.945503
0.010815,0.157885,0.1687,0.949083,0.932523,0.935671,0.934094,0.959535,0.957502,0.958517,0.949083,0.949083,0.949083,0.946029,0.946586,0.946306
0.011162,0.187554,0.198716,0.946538,0.948487,0.910836,0.92928,0.945392,0.968949,0.957026,0.946538,0.946538,0.946538,0.946939,0.939892,0.943153
0.011059,0.170111,0.18117,0.945625,0.953077,0.903481,0.927616,0.941331,0.972079,0.956458,0.945625,0.945625,0.945625,0.947204,0.93778,0.942037
